age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude,location
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-01T00:05:22+00:00,False,,White,Person search,,Controlled drugs,,,50.883462,2272197.0,On or near Market Street,-2.795848,
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-01T00:15:04+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.449758,2270926.0,On or near Parking Area,-2.852499,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-01T00:30:27+00:00,False,,White,Person search,,Controlled drugs,,,51.451595,2278159.0,On or near Deanery Road,-2.603005,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-01T00:30:27+00:00,False,,White,Person search,,Controlled drugs,,,51.451595,2278159.0,On or near Deanery Road,-2.603005,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-01T00:51:08+00:00,False,,White,Person search,,Controlled drugs,,,50.940553,2276614.0,On or near Clarence Terrace,-2.628050,
25-34,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-01T01:13:07+00:00,False,,White,Person search,,Offensive weapons,,,51.453226,2278663.0,On or near Nightclub,-2.595541,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-01T01:32:44+00:00,False,,White,Person search,,Controlled drugs,,,51.462026,2282442.0,On or near Park Street,-2.534438,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-01T02:19:17+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.457668,2279211.0,On or near Penn Street,-2.586303,
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-01T02:19:17+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.457668,2279211.0,On or near Penn Street,-2.586303,
10-17,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-01T02:52:12+00:00,False,,White,Person search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.344983,2269408.0,On or near A370,-2.935308,
10-17,,True,,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-01T02:52:12+00:00,False,,White,Person search,,Controlled drugs,,,51.344983,2269408.0,On or near A370,-2.935308,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-01T04:48:23+00:00,False,,White,Person search,,Article for use in theft,,,51.469350,2280906.0,On or near Robertson Road,-2.560323,
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-01T10:14:42+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-arrest,Arrest,51.316092,2272371.0,On or near Holloway Lane,-2.786023,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-01T10:14:42+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.316092,2272371.0,On or near Holloway Lane,-2.786023,
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-01T16:43:48+00:00,False,,White,Person search,,Article for use in theft,bu-arrest,Arrest,51.410159,2278022.0,On or near Randolph Close,-2.605263,
25-34,,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-01T16:43:48+00:00,False,,Mixed,Person search,,Article for use in theft,,,51.410159,2278022.0,On or near Randolph Close,-2.605263,
,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-01T17:24:37+00:00,False,,White,Person search,,Offensive weapons,,,51.375198,2272014.0,On or near Wrington Mead,-2.800311,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-01T20:25:37+00:00,False,,White,Person search,,Offensive weapons,,,51.350735,2268001.0,On or near Market Lane,-2.978490,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-01T20:25:37+00:00,False,,White,Person search,,Offensive weapons,,,51.350735,2268001.0,On or near Market Lane,-2.978490,
10-17,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-02T02:14:51+00:00,False,,Black,Person search,,Controlled drugs,,,51.461527,2280432.0,On or near Shaw Close,-2.567769,
18-24,A no further action disposal,True,Other ethnic group - Not stated,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-02T13:12:14+00:00,False,,Black,Person search,,Articles for use in criminal damage,bu-no-further-action,A no further action disposal,51.456137,2278978.0,On or near Fairfax Street,-2.590414,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-02T14:02:34+00:00,False,,White,Person search,,Stolen goods,,,51.525403,2278462.0,On or near Parking Area,-2.598546,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-02T14:23:13+00:00,False,,White,Person search,,Stolen goods,,,51.411979,2277970.0,On or near Gatcombe Road,-2.606265,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-02T14:25:26+00:00,False,,White,Person search,,Controlled drugs,,,,,,,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-02T14:53:01+00:00,False,,White,Person search,,,,,51.023029,2266339.0,On or near Laxton Close,-3.071039,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-02T19:14:21+00:00,False,,White,Person search,,Offensive weapons,,,51.462730,2279216.0,On or near Argyle Road,-2.586396,
